Date_Time	Data_Type	Process	 Fat	 SNF	Density	  Water	LTC	GSS		 
100623160635	D	MS	 4.94	 8.74	29.37	  0	27237	4
100623160831	D	MS	 5.55	 8.74	28.86	  0	27250	4
100623161310	D	MS	 4.83	 8.53	28.62	  0	27214	4
100623161542	D	MS	 4.19	 8.96	30.88	  0	27253	4
100623161633	D	MS	 3.08	 8.81	31.21	  0	27308	4
100623161734	D	MS	 5.40	 9.09	30.38	  0	27340	4
100623161930	D	MS	 5.70	 8.84	29.13	  0	27266	4
100623162052	D	MS	 4.23	 8.48	28.93	  0	27227	4
100623162155	D	MS	 3.85	 8.53	29.45	  0	27348	4
100623162313	D	MS	 5.99	 8.63	28.05	  0	27375	4
100623162411	D	MS	 5.53	 8.77	28.99	  0	27404	4
100623162619	D	MS	 5.33	 8.82	29.36	  0	27270	4
100623162743	D	MS	 4.83	 8.16	27.14	  3	27296	4
100623162906	D	MS	 5.63	 7.68	24.55	  9	27193	4
100623163013	D	MS	 5.65	 7.73	24.73	  8	27310	4
100623163106	D	MS	 4.70	 8.22	27.49	  3	27367	4
100623163246	D	MS	 4.48	 7.79	25.96	  7	27224	4
100623163339	D	MS	 5.36	 9.32	31.34	  0	27335	4
100623163629	D	MS	 5.17	 8.42	27.90	  1	27165	4
100623163751	D	MS	 3.24	 8.11	28.28	  3	27326	4
100623163925	D	MS	 5.47	 8.60	28.37	  0	27300	4
100623164027	D	MS	 4.32	 8.48	28.85	  0	27324	4
100623164137	D	MS	 5.18	 8.41	27.85	  1	27267	4
100623164256	D	MS	 4.27	 8.41	28.61	  1	27234	4
100623164420	D	MS	 4.46	 8.47	28.69	  0	27244	4
100623164624	D	MS	 4.35	 8.63	29.43	  0	27292	4
100623164745	D	MS	 4.25	 8.42	28.67	  0	27276	4
100623164855	D	MS	 4.28	 8.45	28.76	  0	27295	4
100623165057	D	MS	 5.16	 9.02	30.31	  0	27167	4
100623165151	D	MS	 4.20	 8.21	27.87	  3	27380	4
100623165253	D	MS	 5.98	 9.32	30.82	  0	27415	4
100623165502	D	MS	 5.41	 8.83	29.34	  0	27301	4
100623165645	D	MS	 4.93	 8.66	29.06	  0	27278	4
100623165913	D	MS	 5.03	 8.48	28.25	  0	27258	4
100623170004	D	MS	 4.50	 9.17	31.46	  0	27380	4
100623170208	D	MS	 6.10	 8.38	26.96	  1	27258	4
100623170452	D	MS	 4.89	 8.60	28.85	  0	27155	4
100623170600	D	MS	 4.43	 8.42	28.52	  0	27249	4
100623170652	D	MS	 6.01	 8.32	26.79	  2	27315	4
100623170906	D	MS	 4.04	 8.52	29.25	  0	27298	4
100623171105	D	MS	 4.60	 8.92	30.38	  0	27265	4
100623171154	D	MS	 4.98	 8.31	27.62	  2	27355	4
100623171305	D	MS	 3.51	 8.33	28.93	  1	27324	4
100623171353	D	MS	 4.92	 8.27	27.51	  2	27359	4
100623171509	D	MS	 4.15	 8.24	28.03	  2	27309	4
100623171610	D	MS	 5.08	 8.60	28.69	  0	27306	4
100623172118	D	MS	 5.13	 8.68	28.97	  0	27213	4
100623172216	D	MS	 4.75	 8.14	27.13	  4	27374	4
100623172412	D	MS	 5.83	 8.29	26.82	  2	27186	4
100623172516	D	MS	 4.20	 8.39	28.59	  1	27302	4
100623172654	D	MS	 6.59	 9.02	29.10	  0	27274	4
100623172814	D	MS	 6.06	 8.34	26.83	  2	27262	4
100623172929	D	MS	 4.26	 8.50	28.98	  0	27346	4
100623173016	D	MS	 3.65	 8.20	28.29	  3	27390	4
